@@ | 2019-04-17 17:24:59,803 | 257691 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-01 ===== ,第 20 批次数据插入完成 ===== 
@@ | 2019-04-17 17:24:59,803 | 257691 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713 ============ 2013-01-01插入完成  ============ 
@@ | 2019-04-17 17:24:59,804 | 257692 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -成功数:3584160 ,失败数:0 ,无值的tag数:1400 ,当前时间未创建的tag数:0 ,失败的tag数:0 
@@ | 2019-04-17 17:25:27,720 | 285608 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -localFilePath:/home/hbase/data ,hdfsFilePath:/2013/2713-2013-01-01.txt 
@@ | 2019-04-17 17:25:27,721 | 285609 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -本地路径下 /home/hbase/data/2013/2713-2013-01-01.txt 已删除！ 
@@ | 2019-04-17 17:25:39,241 | 297129 | [main] | INFO  | com.bl.source.file.CreateFileUtil | -2713-2013-01-02.txt 文件已创建！ 
@@ | 2019-04-17 17:25:39,326 | 297214 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 1 批次数据插入完成 ===== 
@@ | 2019-04-17 17:25:58,054 | 315942 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 2 批次数据插入完成 ===== 
@@ | 2019-04-17 17:26:14,319 | 332207 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 3 批次数据插入完成 ===== 
@@ | 2019-04-17 17:26:19,742 | 337630 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 4 批次数据插入完成 ===== 
@@ | 2019-04-17 17:26:34,340 | 352228 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 5 批次数据插入完成 ===== 
@@ | 2019-04-17 17:26:49,152 | 367040 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 6 批次数据插入完成 ===== 
@@ | 2019-04-17 17:26:53,561 | 371449 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 7 批次数据插入完成 ===== 
@@ | 2019-04-17 17:27:05,145 | 383033 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 8 批次数据插入完成 ===== 
@@ | 2019-04-17 17:27:19,131 | 397019 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 9 批次数据插入完成 ===== 
@@ | 2019-04-17 17:27:31,596 | 409484 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 10 批次数据插入完成 ===== 
@@ | 2019-04-17 17:27:44,558 | 422446 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 11 批次数据插入完成 ===== 
@@ | 2019-04-17 17:27:54,218 | 432106 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 12 批次数据插入完成 ===== 
@@ | 2019-04-17 17:28:10,132 | 448020 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 13 批次数据插入完成 ===== 
@@ | 2019-04-17 17:28:24,469 | 462357 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 14 批次数据插入完成 ===== 
@@ | 2019-04-17 17:28:45,052 | 482940 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 15 批次数据插入完成 ===== 
@@ | 2019-04-17 17:28:55,916 | 493804 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 16 批次数据插入完成 ===== 
@@ | 2019-04-17 17:29:03,374 | 501262 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 17 批次数据插入完成 ===== 
@@ | 2019-04-17 17:29:15,519 | 513407 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 18 批次数据插入完成 ===== 
@@ | 2019-04-17 17:29:32,243 | 530131 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 19 批次数据插入完成 ===== 
@@ | 2019-04-17 17:29:45,808 | 543696 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-02 ===== ,第 20 批次数据插入完成 ===== 
@@ | 2019-04-17 17:29:45,808 | 543696 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713 ============ 2013-01-02插入完成  ============ 
@@ | 2019-04-17 17:29:45,808 | 543696 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -成功数:7079040 ,失败数:0 ,无值的tag数:2862 ,当前时间未创建的tag数:0 ,失败的tag数:0 
@@ | 2019-04-17 17:30:08,820 | 566708 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -localFilePath:/home/hbase/data ,hdfsFilePath:/2013/2713-2013-01-02.txt 
@@ | 2019-04-17 17:30:08,867 | 566755 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -本地路径下 /home/hbase/data/2013/2713-2013-01-02.txt 已删除！ 
@@ | 2019-04-17 17:30:21,117 | 579005 | [main] | INFO  | com.bl.source.file.CreateFileUtil | -2713-2013-01-03.txt 文件已创建！ 
@@ | 2019-04-17 17:30:21,200 | 579088 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 1 批次数据插入完成 ===== 
@@ | 2019-04-17 17:30:35,182 | 593070 | [main] | INFO  | c.bl.source.invert.DayManyQueryData | -===== 电厂:2713===== 2013-01-03 ===== ,第 2 批次数据插入完成 ===== 
